# nom	paquet — index de la bibliothèque standard SysML v2.
# Généré par tools/gen-stdlib.py --fetch ; ne pas éditer à la main.
# Source : https://github.com/Systems-Modeling/SysML-v2-Release (sysml.library/, master)
CartesianDisplacementOf	SpatialFrames
CartesianDragForce3dVector	ISQMechanics
CartesianElectricCurrentDensity3dCoordinateFrame	ISQElectromagnetism
CartesianElectricCurrentDensity3dVector	ISQElectromagnetism
CartesianElectricDipoleMoment3dCoordinateFrame	ISQElectromagnetism
CartesianElectricDipoleMoment3dVector	ISQElectromagnetism
CartesianElectricFieldStrength3dCoordinateFrame	ISQElectromagnetism
CartesianElectricFieldStrength3dVector	ISQElectromagnetism
CartesianElectricFluxDensity3dCoordinateFrame	ISQElectromagnetism
CartesianElectricFluxDensity3dVector	ISQElectromagnetism
CartesianElectricPolarization3dCoordinateFrame	ISQElectromagnetism
CartesianElectricPolarization3dVector	ISQElectromagnetism
CartesianEquilibriumPosition3dVector	ISQCondensedMatter
CartesianForce3dCoordinateFrame	ISQMechanics
CartesianForce3dVector	ISQMechanics
CartesianFundamentalLattice3dVector	ISQCondensedMatter
CartesianFundamentalReciprocalLattice3dCoordinateFrame	ISQCondensedMatter
CartesianFundamentalReciprocalLattice3dVector	ISQCondensedMatter
CartesianImpulse3dCoordinateFrame	ISQMechanics
CartesianImpulse3dVector	ISQMechanics
CartesianKineticFrictionForce3dVector	ISQMechanics
CartesianLattice3dVector	ISQCondensedMatter
CartesianLinearElectricCurrentDensity3dCoordinateFrame	ISQElectromagnetism
CartesianLinearElectricCurrentDensity3dVector	ISQElectromagnetism
CartesianMagneticDipoleMoment3dCoordinateFrame	ISQAtomicNuclear
CartesianMagneticDipoleMoment3dVector	ISQAtomicNuclear
CartesianMagneticFieldStrength3dCoordinateFrame	ISQElectromagnetism
CartesianMagneticFieldStrength3dVector	ISQElectromagnetism
CartesianMagneticFluxDensity3dCoordinateFrame	ISQElectromagnetism
CartesianMagneticFluxDensity3dVector	ISQElectromagnetism
CartesianMagneticMoment3dCoordinateFrame	ISQElectromagnetism
CartesianMagneticMoment3dVector	ISQElectromagnetism
CartesianMagneticPolarization3dCoordinateFrame	ISQElectromagnetism
CartesianMagneticPolarization3dVector	ISQElectromagnetism
CartesianMagneticVectorPotential3dCoordinateFrame	ISQElectromagnetism
CartesianMagneticVectorPotential3dVector	ISQElectromagnetism
CartesianMagnetization3dCoordinateFrame	ISQElectromagnetism
CartesianMagnetization3dVector	ISQElectromagnetism
CartesianMassFlow3dCoordinateFrame	ISQMechanics
CartesianMassFlow3dVector	ISQMechanics
CartesianMomentOfForce3dCoordinateFrame	ISQMechanics
CartesianMomentOfForce3dVector	ISQMechanics
CartesianMomentum3dCoordinateFrame	ISQMechanics
CartesianMomentum3dVector	ISQMechanics
CartesianParticleCurrentDensity3dCoordinateFrame	ISQAtomicNuclear
CartesianParticleCurrentDensity3dVector	ISQAtomicNuclear
CartesianParticlePosition3dVector	ISQCondensedMatter
CartesianPosition3dVector	ISQSpaceTime
CartesianPositionOf	SpatialFrames
CartesianPoynting3dCoordinateFrame	ISQElectromagnetism
CartesianPoynting3dVector	ISQElectromagnetism
CartesianRollingResistance3dVector	ISQMechanics
CartesianSoundIntensity3dCoordinateFrame	ISQAcoustics
CartesianSoundIntensity3dVector	ISQAcoustics
CartesianSoundParticleAcceleration3dVector	ISQAcoustics
CartesianSoundParticleDisplacement3dVector	ISQAcoustics
CartesianSoundParticleVelocity3dVector	ISQAcoustics
CartesianSpatial3dCoordinateFrame	ISQSpaceTime
CartesianSpatialFrame	SpatialFrames
CartesianSpin3dCoordinateFrame	ISQAtomicNuclear
CartesianSpin3dVector	ISQAtomicNuclear
CartesianStaticFrictionForce3dVector	ISQMechanics
CartesianThreeVectorOf	VectorFunctions
CartesianThreeVectorValue	VectorValues
CartesianTotalAngularMomentum3dCoordinateFrame	ISQAtomicNuclear
CartesianTotalAngularMomentum3dVector	ISQAtomicNuclear
CartesianTotalCurrentDensity3dCoordinateFrame	ISQElectromagnetism
CartesianTotalCurrentDensity3dVector	ISQElectromagnetism
CartesianVectorOf	VectorFunctions
CartesianVectorValue	VectorValues
CartesianVelocity3dCoordinateFrame	ISQSpaceTime
